ex_t_menhir_l_01	E 22 5
flora_stoneflower_02	E 19 -4
barrel_01_saltrice	E 19 -5
com_basket_01_empty	E 19 -5
com_chest_11_vault	E 19 -5
com_sack_01_moon sugar5	E 19 -5
com_sack_01_saltrice_5	E 19 -5
com_sack_02_gold_05	E 19 -5
com_sack_02_ingred	E 19 -5
com_sack_03	E 19 -5
com_sack_03_chpfood5	E 19 -5
ex_de_docks_centerb	E 19 -5
ex_de_docks_cornerb_02	E 19 -5
ex_de_docks_end	E 19 -5
ex_de_docks_steps_01	E 19 -5
ex_de_oar	E 19 -5
ex_de_rowboat	E 19 -5
ex_longboat	E 19 -5
ex_ship_plank	E 19 -5
furn_de_rope_05	E 19 -5
misc_com_bucket_metal	E 19 -5
misc_com_metal_goblet_01	E 19 -5
misc_flask_03	E 19 -5
sound_boat_creak00	E 19 -5
sound_boat_hull00	E 19 -5
urn_04_ingred	E 19 -5
vevrana aryon	E 19 -5
terrain_rock_ac_01	E 19 -6
ex_azurascoast_lev-1	E 19 -7
ex_de_cave_entrance_01	E 19 -7
ex_wild_rat_lev-2	E 19 -7
kwama worker entrance	E 19 -7
terrain_rock_ac_05	E 19 -7
ex_cave_door_01	E 19 -8
ex_dae_azura	E 19 -8
ex_dae_door_load_oval	E 19 -8
barrel_01_manicky	E 18 4
ex_t_bigroot_02	E 18 4
ex_t_brace_01	E 18 4
ex_t_door_01	E 18 4
ex_t_door_02	E 18 4
ex_t_doorway_01	E 18 4
ex_t_doorway_02	E 18 4
ex_t_gateway_great	E 18 4
ex_t_housepod_01	E 18 4
ex_t_housepod_02	E 18 4
ex_t_housepod_03	E 18 4
ex_t_housepod_04	E 18 4
ex_t_housestem_01	E 18 4
ex_t_housestem_02	E 18 4
ex_t_housestem_03	E 18 4
ex_t_manor_01	E 18 4
ex_t_manor_02	E 18 4
ex_t_rock_coastal_03	E 18 4
ex_t_root_01	E 18 4
ex_t_root_02	E 18 4
ex_t_root_03	E 18 4
ex_t_root_04	E 18 4
ex_t_root_arch_01	E 18 4
ex_t_root_bridge_01	E 18 4
ex_t_root_hook	E 18 4
ex_t_root_xl_02	E 18 4
ex_t_root_xl_03	E 18 4
ex_t_stair_spiral	E 18 4
ex_t_tower_strght_lrg	E 18 4
ex_t_turret_01	E 18 4
ex_t_turret_02	E 18 4
ex_t_turret_03	E 18 4
flora_t_mushroom_01	E 18 4
flora_t_shelffungus_01	E 18 4
furn_anvil00	E 18 4
furn_banner_tavern_sadrithmora	E 18 4
furn_bannerd_alchemy_sadrithmor	E 18 4
furn_bannerd_wa_shop_01	E 18 4
furn_de_bannerpost_02	E 18 4
furn_de_bellows_01	E 18 4
furn_de_forge_01	E 18 4
furn_log_02	E 18 4
furn_log_04	E 18 4
furn_uni_spearholder_01	E 18 4
light_de_lantern_05	E 18 4
light_de_paper_lantern_01	E 18 4
light_de_streetlight_01	E 18 4
light_fire_nosmoke_400	E 18 4
light_glowing_lichen_512_d	E 18 4
light_tikitorch003	E 18 4
manicky	E 18 4
misc_de_tankard_01	E 18 4
steel claymore	E 18 4
steel dai-katana	E 18 4
steel halberd	E 18 4
steel spear	E 18 4
steel staff	E 18 4
telvanni guard	E 18 4
barrel_01_empty	E 18 3
barrel_01_torch	E 18 3
crate_01	E 18 3
crate_01_empty	E 18 3
divinemarker	E 18 3
dumbuk gro-bolak	E 18 3
ex_common_awning_wood_01	E 18 3
ex_common_chimney_tall	E 18 3
ex_common_door_01	E 18 3
ex_common_dormer_square	E 18 3
ex_common_entrance_02	E 18 3
ex_common_house_tall_02	E 18 3
ex_common_window_01	E 18 3
ex_common_window_02	E 18 3
ex_drystonewall_c_01	E 18 3
ex_drystonewall_d_01	E 18 3
ex_drystonewall_end_01	E 18 3
ex_drystonewall_s_01	E 18 3
ex_imp_arrowslit_01	E 18 3
ex_imp_bridge_01	E 18 3
ex_imp_bridge_02	E 18 3
ex_imp_foundation_01	E 18 3
ex_imp_keep_01	E 18 3
ex_imp_loaddoor_02	E 18 3
ex_imp_mooring_01	E 18 3
ex_imp_towerb_base_01	E 18 3
ex_imp_towerb_dark_01	E 18 3
ex_imp_towerb_light_01	E 18 3
ex_imp_towerb_med_01	E 18 3
ex_imp_towerb_top_01	E 18 3
ex_imp_towers_base_01	E 18 3
ex_imp_towers_dark_01	E 18 3
ex_imp_towers_light_01	E 18 3
ex_imp_towers_med_01	E 18 3
ex_imp_towers_top_01	E 18 3
ex_imp_wall_01	E 18 3
ex_imp_wall_arch_01	E 18 3
ex_imp_wall_corner_01	E 18 3
ex_imp_wall_corner_02	E 18 3
ex_imp_wall_stairs_01	E 18 3
ex_imp_wall_stairs_02	E 18 3
ex_imp_wall_stairs_03	E 18 3
ex_imp_wallent_01	E 18 3
ex_imp_wallent_02	E 18 3
ex_nord_well_01	E 18 3
furn_bannerd_alchemy_01	E 18 3
furn_com_lantern_hook	E 18 3
furn_com_torch_ring_01	E 18 3
furn_crate_open_01	E 18 3
furn_de_ex_bench_01	E 18 3
furn_de_firepit_f_400	E 18 3
furn_guarcart00	E 18 3
furn_imp_flag_01	E 18 3
furn_imp_flagpole_01	E 18 3
furn_imp_signbase_01	E 18 3
furn_imp_stoneblock_01	E 18 3
furn_log_03	E 18 3
furn_practice_dummy	E 18 3
furn_sign_inn_muriel	E 18 3
imperial archer	E 18 3
imperial guard	E 18 3
in_com_traptop_01	E 18 3
light_com_lantern_01_128	E 18 3
light_torch_01	E 18 3
misc_com_bucket_01	E 18 3
prisonmarker	E 18 3
torch_256	E 18 3
urn_02_ingred	E 18 3
vori	E 18 3
burul gro-orbuma	E 18 0
flora_willow_flower_01	E 18 0
in_dae_all_lev+0	E 18 0
in_dae_rubble_04a	E 18 0
in_dae_rubble_pointy	E 18 0
moghakh gro-bar	E 18 0
misc_com_bottle_07_float	E 18 -1
misc_com_bottle_14_float	E 18 -1
in_cave_all_lev+0	E 18 -4
flora_muckpod_03	E 18 -5
flora_muckspunge_06	E 18 -5
in_cave_kagouti_lev+0	E 18 -8
ex_t_bridge_lcurved	E 17 5
ex_t_clawgrowth_01	E 17 5
ex_t_councilhall	E 17 5
ex_t_root_05	E 17 5
ex_t_root_06	E 17 5
ex_t_root_spikes_01	E 17 5
act_banner_sadrith_mora	E 17 4
ancola	E 17 4
anruin	E 17 4
apparatus_j_calcinator_01	E 17 4
apparatus_j_mortar_01	E 17 4
arangaer	E 17 4
argonian slave female	E 17 4
argonian slave male	E 17 4
barrel_01_cheapfood5	E 17 4
barrel_01_de_pos1	E 17 4
brallion	E 17 4
chest_01_v_potion_al_02	E 17 4
com_chest_02_v_trader01	E 17 4
com_chest_02_v_trader02	E 17 4
com_sack_02_chpfood3	E 17 4
com_sack_03_ingredients	E 17 4
crate_01_anruin	E 17 4
crate_02_de_mclothes	E 17 4
elegal	E 17 4
ex_de_ship	E 17 4
ex_skiff	E 17 4
ex_t_awning_02	E 17 4
ex_t_dock_main	E 17 4
ex_t_door_slavepod_01	E 17 4
ex_t_door_stone_large	E 17 4
ex_t_platform_01	E 17 4
ex_t_platform_02	E 17 4
ex_t_pole_hooked	E 17 4
ex_t_rootball	E 17 4
ex_t_slavemarket	E 17 4
ex_t_slavepod_01	E 17 4
ex_t_stair_01	E 17 4
ex_t_stair_90_l_short	E 17 4
ex_t_stair_90_r_short	E 17 4
ex_t_tunnel	E 17 4
furn_bannerd_danger_01	E 17 4
furn_bannerd_goods_01	E 17 4
furn_bannerd_welcome_01	E 17 4
furn_crate_lid_01	E 17 4
furn_de_banner_telvani_01	E 17 4
furn_de_ex_table_02	E 17 4
furn_de_ex_table_03	E 17 4
furn_de_signpost_02	E 17 4
furn_hook_01	E 17 4
gals arethi	E 17 4
hammer_repair	E 17 4
ingred_ash_salts_01	E 17 4
ingred_black_anther_01	E 17 4
iron shortsword	E 17 4
khajit slave male	E 17 4
light_de_lantern_06	E 17 4
misc_com_wood_bowl_05	E 17 4
misc_com_wood_cup_02	E 17 4
misc_de_basket_01	E 17 4
misc_de_bowl_01	E 17 4
misc_de_bowl_redware_01	E 17 4
misc_de_bowl_redware_02	E 17 4
misc_de_foldedcloth00	E 17 4
misc_de_glass_yellow_01	E 17 4
misc_de_pitcher_01	E 17 4
misc_de_pot_mottled_01	E 17 4
p_restore_fatigue_q	E 17 4
p_restore_health_c	E 17 4
p_restore_health_q	E 17 4
repair_journeyman_01	E 17 4
repair_prongs	E 17 4
sc_paper plain	E 17 4
steel crossbow	E 17 4
urn_01_ingred	E 17 4
urn_03_food	E 17 4
urn_04_food	E 17 4
urn_05_food	E 17 4
de_p_chest_02_gold_50	E 17 0
light_pitfire00	E 17 0
raishi erarbadon	E 17 0
sal pudashara	E 17 0
talkin ashar-dad	E 17 0
in_cave_alit_lev+0	E 17 -3
in_cave_nix_lev+0	E 17 -4
dur gro-grambak	E 17 -5
ex_dae_wall_512_07	E 17 -5
ex_dae_wall_512_08	E 17 -5
flora_bittergreen_03	E 17 -5
flora_bittergreen_07	E 17 -5
flora_bittergreen_10	E 17 -5
in_dae_all_lev-2	E 17 -5
in_dae_rubble_03a	E 17 -5
active_de_bedroll	E 17 -6
door_dwrv_load00	E 17 -6
ex_dwrv_block00	E 17 -6
ex_dwrv_block10	E 17 -6
ex_dwrv_block20	E 17 -6
ex_dwrv_block30	E 17 -6
ex_dwrv_enter00	E 17 -6
ex_dwrv_pipe00	E 17 -6
ex_dwrv_ruin10	E 17 -6
ex_dwrv_ruin20	E 17 -6
ex_dwrv_ruin50	E 17 -6
ex_dwrv_ruin60	E 17 -6
ex_dwrv_ruin_tower00	E 17 -6
ex_dwrv_steamstack00	E 17 -6
ex_dwrv_wall00	E 17 -6
ex_dwrv_wall10	E 17 -6
ex_dwrv_wall20	E 17 -6
ex_dwrv_wall30	E 17 -6
ex_dwrv_wall40	E 17 -6
ex_dwrv_wall50	E 17 -6
ex_dwrv_wall60	E 17 -6
furn_de_firepit_f_01	E 17 -6
larienna macrina	E 17 -6
ex_velothi_tower_01	E 17 -8
mudcrab-diseased	E 16 7
de_p_chest_02_gold_25	E 16 5
ex_ashl_tent_04	E 16 5
furn_de_ex_stool_02	E 16 5
misc_com_bottle_09	E 16 5
misc_com_bottle_12	E 16 5
salmat elarrapal	E 16 5
zenabi samma	E 16 5
in_cave_kagouti_lev+2	E 16 3
ex_wild_all_lev+0	E 16 -1
assatlit assudnilamat	E 16 -2
ibasour sershurrapal	E 16 -2
sannit kil	E 16 -2
flora_willow_flower_02	E 16 -3
mamusa shashmassamsi	E 16 -6
missamsi timmiriran	E 16 -6
munbebi addarari	E 16 -6
terrain_rock_ma_02	E 16 -7
terrain_rock_ma_58	E 16 -7
brasteir	E 16 -9
flora_bittergreen_04	E 16 -9
terrain_rock_gl_04	E 15 10
terrain_rock_gl_08	E 15 10
terrain_rock_gl_11	E 15 10
flora_hackle-lo_02	E 15 9
flora_tree_gl_04	E 15 9
flora_wickwheat_01	E 15 9
terrain_rock_gl_03	E 15 9
terrain_rock_gl_07	E 15 9
terrain_rock_gl_09	E 15 9
terrain_rock_gl_12	E 15 9
terrain_rocks_gl_01	E 15 9
terrain_rocks_gl_02	E 15 9
terrain_rocks_gl_03	E 15 9
terrain_rocks_gl_04	E 15 9
act_banner_tel_aruhn	E 15 5
collision wall - inviso!!	E 15 5
ex_t_hook	E 15 5
ex_t_spiralramp	E 15 5
falura llervu	E 15 5
furn_banner_tavern_telaruhn	E 15 5
furn_bannerd_alchemy_telaruhn	E 15 5
furn_bannerd_goods_telaruhn	E 15 5
furn_bannerd_wa_shop_telaruhn	E 15 5
light_de_paper_lantern_02	E 15 5
s'bakha	E 15 5
savile imayn	E 15 5
shagdub gra-murz	E 15 5
shuzug gro-bug	E 15 5
stentus tullius	E 15 5
daynas darys	E 15 4
act_banner_tel_fyr	E 15 1
ex_longboat01	E 15 1
ex_t_bigroot_01	E 15 1
ex_t_clawgrowth_02	E 15 1
ex_t_root_lendsplit	E 15 1
flora_ash_grass_r_01	E 15 0
flora_ashtree_02	E 15 0
flora_ashtree_03	E 15 0
flora_ashtree_04	E 15 0
flora_ashtree_05	E 15 0
flora_ashtree_06	E 15 0
flora_ashtree_07	E 15 0
flora_fire_fern_01	E 15 0
terrain_rock_ma_25	E 15 0
terrain_rock_ma_39	E 15 0
terrain_rock_ma_49	E 15 0
contain_trama_shrub_01	E 15 -1
ex_cave_entrance_ma_lava	E 15 -1
ex_molagmar_lev+0	E 15 -1
ex_molagmar_lev+2	E 15 -1
flora_ash_grass_b_01	E 15 -1
flora_ash_grass_w_01	E 15 -1
flora_ash_log_02	E 15 -1
flora_ash_log_03	E 15 -1
terrain_ma_rock32	E 15 -1
terrain_ma_rock62	E 15 -1
terrain_rock_ma_04	E 15 -1
terrain_rock_ma_09	E 15 -1
terrain_rock_ma_19	E 15 -1
terrain_rock_ma_43	E 15 -1
terrain_rock_ma_53	E 15 -1
terrain_rock_ma_54	E 15 -1
terrain_rock_ma_55	E 15 -1
terrain_rock_ma_550	E 15 -1
terrain_rock_ma_59	E 15 -1
terrain_rock_ma_5a	E 15 -1
terrain_rock_ma_79	E 15 -1
volcano_steam	E 15 -1
flora_rm_scathecraw_01	E 15 -4
ex_dwrv_bridge00	E 15 -5
ex_dwrv_bridge10	E 15 -5
ex_dwrv_pipefitting00	E 15 -5
ex_dwrv_ruin00	E 15 -5
ex_dwrv_ruin80	E 15 -5
ex_dwrv_walker00	E 15 -5
ex_dwrv_walker20	E 15 -5
ex_molagmar_lev-1	E 15 -5
flora_ashtree_01	E 15 -5
flora_black_lichen_01	E 15 -5
flora_green_lichen_01	E 15 -5
flora_red_lichen_01	E 15 -5
flora_rm_scathecraw_02	E 15 -5
terrain_rock_ma_57	E 15 -5
terrain_rock_ma_67	E 15 -5
tramaroot_02	E 15 -5
tramaroot_03	E 15 -5
tramaroot_04	E 15 -5
tramaroot_05	E 15 -5
tramaroot_06	E 15 -5
terrain_rock_ma_06	E 15 -6
terrain_rock_ma_10	E 15 -6
act_terrain_lava_vent	E 15 -7
act_terrain_lava_ventlg	E 15 -7
flora_ash_log_04	E 15 -7
flora_fire_fern_02	E 15 -7
flora_fire_fern_03	E 15 -7
terrain_rock_ma_07	E 15 -7
odairan addaribantes	E 15 -9
turan tibashipal	E 15 -9
ex_de_railing_01	E 15 -10
ex_de_railing_02	E 15 -10
ex_de_railing_03	E 15 -10
ex_wild_all_lev+2	E 15 -10
flora_muckpod_01	E 15 -11
flora_muckpod_02	E 15 -11
act_banner_tel_branora	E 15 -13
balis favani	E 15 -13
blue water ref	E 15 -13
cun	E 15 -13
endring	E 15 -13
ennah	E 15 -13
estinan	E 15 -13
foronir	E 15 -13
furn_banner_tavern_a4_01	E 15 -13
furn_bannerd_goods_a4_01	E 15 -13
furn_bannerd_wa_shop_a4_01	E 15 -13
irwaen	E 15 -13
light_de_lantern_03_sway	E 15 -13
mollimo of cloudrest	E 15 -13
trerayna dalen	E 15 -13
ex_v_foundation_02	E 15 -14
furn_banner_temple_03_indoors	E 15 -15
furn_velothi_prayer_stool_01	E 15 -15
misc_skull00	E 15 -15
urn_ash00	E 15 -15
kanud odimabesser	E 14 12
zennammu urshumusa	E 14 12
adding	E 14 11
ex_dae_ruin_04	E 14 11
in_dae_clanfear_lev+2	E 14 11
virgerd	E 14 11
bk_notetotelvon	E 14 9
daedroth	E 14 9
ex_stronghold_enter00	E 14 9
ex_stronghold_fort03	E 14 9
ex_stronghold_pylon00	E 14 9
ex_stronghold_pylon02	E 14 9
ex_stronghold_sandpit00	E 14 9
ex_stronghold_smdwell00	E 14 9
ex_stronghold_wall00	E 14 9
ex_stronghold_wall01	E 14 9
ex_stronghold_wall02	E 14 9
flora_hackle-lo_01	E 14 9
flora_tree_gl_03	E 14 9
flora_tree_gl_08	E 14 9
flora_tree_gl_09	E 14 9
flora_tree_gl_10	E 14 9
flora_tree_gl_11	E 14 9
flora_wickwheat_03	E 14 9
flora_wickwheat_04	E 14 9
furn_mist256	E 14 9
in_strong_vaultdoor00	E 14 9
light_de_candle_blue_02_100	E 14 9
mehrunesworshipper_m01	E 14 9
silver dagger	E 14 9
terrain_rock_gl_01	E 14 9
terrain_rock_gl_02	E 14 9
terrain_rock_gl_05	E 14 9
terrain_rock_gl_06	E 14 9
ex_longboat02	E 14 5
barrel_01_random_pos	E 14 1
ex_ashl_door_02	E 14 1
ex_ashl_tent_02	E 14 1
furn_ashl_bugbowl_01	E 14 1
mi-ilu massitisun	E 14 1
subenend urshummarnamus	E 14 1
contain_trama_shrub_02	E 14 0
contain_trama_shrub_06	E 14 0
contain_trama_shrub_04	E 14 -1
ac_shrine_assarnibibi	E 14 -4
in_cave_nix_lev+2	E 14 -12
ex_de_docks_3way	E 14 -13
ex_de_docks_center	E 14 -13
ex_de_docks_steps	E 14 -13
ex_de_shack_04	E 14 -13
ex_de_shack_05	E 14 -13
ex_de_shack_awning_02	E 14 -13
ex_de_shack_awning_06	E 14 -13
ex_de_shack_door	E 14 -13
nireli farys	E 14 -13
barrel_01_float_food20	E 13 15
crate_01_empty_float	E 13 15
dreugh	E 13 15
ex_de_docks_pilingb	E 13 15
ex_de_shack_plank_03	E 13 15
ex_de_shack_plank_03_a	E 13 15
misc_com_bottle_02	E 13 15
act_banner_tel_mora	E 13 14
blue water ref 512	E 13 14
blue water ref 768	E 13 14
emelin	E 13 14
ex_t_dock_01	E 13 14
furn_banner_tavern_d4_01	E 13 14
furn_bannerd_alchemy_d4_01	E 13 14
furn_bannerd_clothing_d4_01	E 13 14
furn_bannerd_goods_d4_01	E 13 14
furn_bannerd_wa_shop_d4_01	E 13 14
lette	E 13 14
light_de_paper_lantern_03	E 13 14
nina	E 13 14
tonas telvani	E 13 14
flora_tree_gl_06	E 13 11
terrain_rock_gl_10	E 13 11
flora_wickwheat_02	E 13 10
botrir	E 13 9
ex_grazelands_lev+2	E 13 8
furn_ashl_bugbowl_02	E 13 8
manabi kummimmidan	E 13 8
teshmus assebiriddan	E 13 8
yahaz ashurnasaddas	E 13 8
ex_cave_entrance_gl_01	E 13 7
ex_grazelands_lev-1	E 13 6
arlowe	E 13 5
manu zainab	E 13 5
misc_de_fishing_pole	E 13 5
nummu assudiraplit	E 13 5
terrain_ma_20	E 13 3
tramaroot_01	E 13 3
contain_trama_shrub_05	E 13 1
ex_wild_all_lev-1	E 13 1
assaba-bentus	E 13 -1
com_basket_01	E 13 -1
com_basket_01_chpfood5	E 13 -1
com_basket_01_pos	E 13 -1
com_sack_01_chpfood5	E 13 -1
com_sack_01_ingred	E 13 -1
ex_ashl_banner	E 13 -1
ex_ashl_door_01	E 13 -1
ex_ashl_e_banner	E 13 -1
ex_ashl_e_banner_r	E 13 -1
ex_ashl_tent_01	E 13 -1
ex_ashl_tent_03	E 13 -1
ex_siltstrider_01	E 13 -1
furn_ashl_bugbowl	E 13 -1
furn_ashl_bugbowl_03	E 13 -1
furn_ashl_chime_01	E 13 -1
furn_ashl_chime_02	E 13 -1
furn_ashl_chime_03	E 13 -1
furn_ashl_chime_04	E 13 -1
furn_ashl_chime_05	E 13 -1
furn_ashl_chime_06	E 13 -1
furn_ashl_chime_07	E 13 -1
furn_ashl_chime_08	E 13 -1
furn_ashl_chimes_01	E 13 -1
furn_de_firepit_f	E 13 -1
furn_de_rug_02	E 13 -1
furn_de_rug_big_06	E 13 -1
furn_ex_ashl_guarskin	E 13 -1
hairan	E 13 -1
hirarend	E 13 -1
kummu	E 13 -1
kushishi	E 13 -1
light_ashl_lantern_02_256	E 13 -1
shalk	E 13 -1
sound_ashl_chimes	E 13 -1
terrain_rock_ma_01	E 13 -1
terrain_rock_ma_51	E 13 -1
tinti	E 13 -1
urn_01_food	E 13 -1
urn_04	E 13 -1
active_sign_molag_mar_01	E 13 -7
active_sign_mt_a_01	E 13 -7
active_sign_mt_kand_01	E 13 -7
furn_com_fence_01	E 13 -7
abanji	E 13 -8
breech-star	E 13 -8
chest_small_01_goldr500	E 13 -8
crate_01_eggs	E 13 -8
crate_01_random_pos	E 13 -8
crate_01_steel_weapons	E 13 -8
crate_02_empty	E 13 -8
crate_02_food	E 13 -8
crate_02_iron_weapons	E 13 -8
ex_r_trapdoor_01	E 13 -8
ex_v_dock_01	E 13 -8
ex_velothi_window_01	E 13 -8
ex_vivec_b_01	E 13 -8
ex_vivec_b_wb_01	E 13 -8
ex_vivec_b_wb_gap_01	E 13 -8
ex_vivec_c_01	E 13 -8
ex_vivec_ent_t_01	E 13 -8
ex_vivec_ent_t_02	E 13 -8
ex_vivec_h_12	E 13 -8
ex_vivec_h_13	E 13 -8
ex_vivec_h_16	E 13 -8
ex_vivec_lp_01	E 13 -8
ex_vivec_lp_02	E 13 -8
ex_vivec_w_01	E 13 -8
ex_vivec_w_c_01	E 13 -8
ex_vivec_w_g_01	E 13 -8
ex_vivec_waterfall_01	E 13 -8
ex_vivec_waterspout_01	E 13 -8
ex_waterfall_mist_01	E 13 -8
furn_banner_temple_01	E 13 -8
furn_de_lightpost_01	E 13 -8
furn_de_overhang_03	E 13 -8
furn_de_p_table_05	E 13 -8
furn_de_signpost_04	E 13 -8
furn_redoran_flag_01_out	E 13 -8
high-heart	E 13 -8
ingred_muck_01	E 13 -8
khamuzi	E 13 -8
light_de_streetlight_01_223_s	E 13 -8
misc_com_wood_bowl_02	E 13 -8
nande	E 13 -8
ordinator wander	E 13 -8
rindral dralor	E 13 -8
rumare	E 13 -8
stream-murk	E 13 -8
templemarker	E 13 -8
tern-feather	E 13 -8
urn_02_food	E 13 -8
vanjirra	E 13 -8
zabarbael	E 13 -8
barrel_01_pos	E 13 -9
ibanammu assutladainab	E 13 -9
kanit niladon	E 13 -9
yanit sehabani	E 13 -9
in_cave_plant10	E 12 17
light_de_lantern_04_sway	E 12 14
crate_01_de_fclothes	E 12 13
crate_01_de_mclothes	E 12 13
ex_t_stair_lcurve	E 12 13
flora_tree_gl_02	E 12 13
sedyni veran	E 12 13
sur surishpi	E 12 13
yan assinabi	E 12 13
ex_grazelands_lev+0	E 12 12
flora_tree_gl_01	E 12 12
flora_tree_gl_05	E 12 12
flora_tree_gl_07	E 12 12
seba anurnudai	E 12 11
tis abalkala	E 12 11
active_sign_tel_vos_01	E 12 8
active_sign_vos_01	E 12 8
idlami	E 12 4
thurek	E 12 4
flora_trama_shrub_05	E 12 2
terrain_ma_rock_13	E 12 1
bk_ilhermit_page	E 12 0
in_lava_1024	E 12 0
a_siltstrider	E 12 -8
active_sign_balmora_02	E 12 -8
active_sign_pelagiad_02	E 12 -8
active_sign_vivec_01	E 12 -8
barrel_01_ingredients	E 12 -8
crate_02_random_pos	E 12 -8
dilami androm	E 12 -8
ex_molagmar_roadmarker_01	E 12 -8
ex_velothi_striderport_01	E 12 -8
furn_striderport_netramp_01	E 12 -8
terrain_ma_rock22	E 12 -8
urn_05_ingred	E 12 -8
dryngheid	E 12 -10
ex_dae_ruin_04_skew_02	E 12 -10
in_dae_clanfear_lev+0	E 12 -10
bethes sarothril	E 11 20
drores arvel	E 11 20
fieryra	E 11 20
fore paw	E 11 20
light_tikitorch00	E 11 20
nix-hound blighted	E 11 20
rat_blighted	E 11 20
dark_256	E 11 16
ex_ashl_a_banner	E 11 16
ex_ashl_a_banner_r	E 11 16
ex_siltstrider_03	E 11 16
ex_siltstrider_04	E 11 16
